# SPDX-License-Identifier: GPL-2.0-only
# Copyright (c) 2025 Greg Kroah-Hartman <gregkh@linuxfoundation.org>
#
# List of fixed up "Fixes:" entries from the git log
# Format is "invalid fix" "proper id"
005887f2e3e0 ad7b0368f33cffe67fecd302028915926e50ef7e
0060c68159fc dbbfca9f41e86903501dded3fd494e1a56f3c310
008afb9f3d57 7e7efdda6adb385fbdfd6f819d76bc68c923c394
00aa975bd031 47f9c279689107f306fff506753971a39a8a7ffc
01b0ac07589e eee87e4377a4b86dc2eea0ade162b0dc33f40576
01b988a708af 4bfa47f3174155d4da088c5259e5fe2fcac01cf4
024ad8df763f 331dc0bc195bb77fcbe60b4513464b406a6d20cb
02b75dc8160d c2231020ea7b53d486395dbd8d3216e0dd1fc7ee
0300e17d67c3 NOT_VALID
0338747d8454 3bf0fb6f33dd545693da5e65f5b1b9b9f0bfc35e
03535b72873b 742d8de0186e9f8ec469f8171ea25781a17421bf
035a3c4046b5 6e40de8b6b3cfa7288bb4a1fee2c7173f53b7345
03d42fd2d83f 7b04d6d60fcfb5b2200ffebb9cfb90927bdfeec7
04879b04bf50 NOT_VALID
04c40f82ccc5 b61bacbc2bf5df11f227bd9bd97b3bace4dc9108
05af074a4b73 NOT_VALID
0604d53d4da8 2e32c2d675ac19730ec656322414649f04eddaa8
06a391b1621e 1dfbf334f12361ebe6269c5918328b755ee960c7
06b7164dfdc0 c1fef73f793b7fd9d2ffcb5ef85807ea55bf7adb
07495ff5d9bc f198186aa9bbd60fae7a2061f4feec614d880299
07adedb5c606 70fa906d6fceb07a49198d2f31cadecc76787419
07b23e3db9ed f88fc122cc34c2545dec9562eaab121494e401ef
07c50a8be41a 7b0c3d693ce65900dd3c79766185f539fa37a29a
086e7d4118cc NOT_VALID
08707d5482df NOT_VALID
090a25ad9798 ec95a68dad00c81d53ab9aa9bcbdf0a86347e0d9
096ad2a15fd8 NOT_VALID
09eb672ce4fb 0809ae724904c3c5dbdddf4169d48aac9c6fcdc8
0a3c3bf11240 NOT_VALID
0a635c7a84cf NOT_VALID
0a897143b7c9 ec93cb6f827b3e1a81b0721b8c893d2a5e37e7d6
0b1d57cf7654 NOT_VALID
0b2613c5883f NOT_VALID
0ba0c3c5d1c1 63c4eb347164845b380089012fe43992511c0ad3
0bc2d534708b 5f192ab027a5d865be24c817005d42eb96314dc2
0bcd216c4741 9732336006764e2ee61225387e3c70eae9139035
0bf368c5b2cf 10de21148f7d28c9e918aaee7cede74a7d506e24
0c219f5799c7 f2aee329a68f5a907bcff11a109dfe17c0b41aeb
0c3b3abc9251 801ccc8a60381f76810b5da9b22f9fe47076a6e9
0c42fe48fd23 98898f3bc83c8a74e562869332cb1b349976a116
0c4b285d9636cc 4ac8c8e52cd915c7efbd60f1eab4afe855f2e7c4
0c8893c9095d 376bc27150f180d9f5eddec6a14117780177589d
0cce31a0aa0e 1c71222e5f2393b5ea1a41795c67589eea7e3490
0cfea7a65738 NOT_VALID
0d1532456c26 e4c5babd32f974cf3db4b5bdb02f23132cc81afb
